"age","gender","ethnicity","education","household_income","height_feet","height_inches","weight","k1","k2","k3","k4","k5","d1","d2","d3","d4","d5","height","bmi","k1_score","k2_score","k3_score","k4_score","k5_score","d1_score","d2_score","d3_score","d4_score","d5_score","k_number_total","d_number_total","k_label_total","d_label_total"
"28-43","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,3,247,"Disagree","Not sure","Nothing","Processed foods","None of the above","No","Once a month or less","Once a month or less","Once a month or less","Once a month or less",63,43.7493071302595,0,0,10,10,10,0,30,30,30,30,30,120,"Moderate","Excellent"
"44-59","Male","White","Graduate degree","$150,000-250,000",5,8,120,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients meet federal requirements","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","At least once daily","At least once daily","At least once daily","At least once daily",68,18.2439446366782,10,0,0,5,NA,10,0,0,0,0,NA,10,"Poor","Poor"
"44-59","Male","Black or African-American","Some college but no degree","$40,000-74,000",5,10,199,"Disagree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",70,28.5504081632653,0,0,0,5,NA,0,10,10,10,10,NA,40,"Poor","Poor"
"28-43","Male","White","Graduate degree","$250,000+",5,6,198,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",66,31.9545454545455,10,0,0,5,NA,0,0,10,10,10,NA,30,"Poor","Poor"
"28-43","Male","White","Some college but no degree","Less than $40,000",5,5,200,"Agree","Not sure","Nothing","Minimally processed foods","None of the above","No","3 to 5 times a week","3 to 5 times a week","Once a month or less","3 to 5 times a week",65,33.2781065088757,10,0,10,5,10,0,10,10,30,10,35,60,"Satisfactory","Moderate"
"28-43","Female","White","High school degree or equivalent (e.g., GED)","$40,000-74,000",5,8,155,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a month","At least once daily","At least once daily",68,23.5650951557093,0,0,0,10,NA,0,0,20,0,0,NA,20,"Poor","Poor"
"44-59","Female","Hispanic","Less than a high school degree","$40,000-74,000",5,3,199,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a month","3 to 5 times a month","Once a month or less",63,35.2474174855127,0,0,0,5,NA,0,0,20,20,30,NA,70,"Poor","Moderate"
"60-73","Female","Black or African-American","Some college but no degree","Less than $40,000",5,6,179,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","None of the above","No","Once a month or less","Once a month or less","Once a month or less","Once a month or less",66,28.8882001836547,10,0,0,10,10,0,30,30,30,30,30,120,"Moderate","Excellent"
"28-43","Female","Hispanic","Some college but no degree","$75,000-99,000",5,5,140,"Disagree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month","At least once daily",65,23.294674556213,0,0,0,5,NA,0,10,20,20,0,NA,50,"Poor","Poor"
"27 or younger","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,5,250,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Nothing","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week","3 to 5 times a month",65,41.5976331360947,0,0,10,5,5,0,10,20,10,20,20,60,"Moderate","Moderate"
"28-43","Female","Black or African-American","High school degree or equivalent (e.g., GED)","Less than $40,000",5,2,140,"Not sure","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a week","At least once daily","At least once daily",62,25.6035379812695,0,0,0,10,NA,0,0,10,0,0,NA,10,"Poor","Poor"
"28-43","Male","White","High school degree or equivalent (e.g., GED)","$75,000-99,000",4,5,150,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month",53,37.5400498398006,10,0,0,5,NA,10,10,10,20,20,NA,70,"Poor","Moderate"
"28-43","Female","White","Some college but no degree","Less than $40,000",5,8,270,"Agree","Not sure","Nothing","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","3 to 5 times a month","3 to 5 times a month","3 to 5 times a month","3 to 5 times a week",68,41.048875432526,10,0,10,5,5,10,20,20,20,10,30,80,"Moderate","Satisfactory"
"28-43","Male","Black or African-American","Bachelor degree","$75,000-99,000",6,1,233,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",73,30.7372865453181,10,0,0,5,NA,10,10,10,10,10,NA,50,"Poor","Poor"
"28-43","Female","White","High school degree or equivalent (e.g., GED)","$40,000-74,000",5,4,145,"Agree","Do not have a significant impact on nutritional value","Ingredients were sourced locally","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","At least once daily","At least once daily","At least once daily",64,24.886474609375,10,0,0,10,NA,0,0,0,0,0,NA,0,"Poor","Poor"
"28-43","Female","White","Bachelor degree","$40,000-74,000",5,5,180,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","Once a month or less","Once a month or less","3 to 5 times a month",65,29.9502958579882,10,0,0,5,5,0,10,30,30,20,20,90,"Moderate","Satisfactory"
"44-59","Female","Black or African-American","Bachelor degree","$40,000-74,000",5,10,150,"Agree","Do not have a significant impact on nutritional value","Ingredients were sourced locally","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a week","3 to 5 times a week","Once a month or less",70,21.5204081632653,10,0,0,5,5,0,0,10,10,30,20,50,"Moderate","Poor"
"60-73","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,0,160,"Not sure","Not sure","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","Once a month or less","Once a month or less","3 to 5 times a month",60,31.2444444444444,0,0,0,5,NA,0,0,30,30,20,NA,80,"Poor","Satisfactory"
"44-59","Female","White","Some college but no degree","Less than $40,000",6,1,215,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Enriched foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a week","At least once daily","At least once daily",73,28.3627322199287,10,0,0,0,NA,0,0,10,0,0,NA,10,"Poor","Poor"
"44-59","Female","White","Graduate degree","$150,000-250,000",5,10,70,"Disagree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","At least once daily","At least once daily","At least once daily","3 to 5 times a week",70,10.0428571428571,0,0,0,5,5,10,0,0,0,10,10,20,"Poor","Poor"
"28-43","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",4,11,145,"Agree","Not sure","Ingredients meet federal requirements","Processed foods","None of the above","No","At least once daily","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",59,29.283251939098,10,0,0,10,10,0,0,10,20,10,30,40,"Moderate","Poor"
"28-43","Female","Black or African-American","Graduate degree","$250,000+",5,6,130,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients were sourced locally","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",66,20.9802571166208,10,0,0,5,5,10,10,10,20,10,20,60,"Moderate","Moderate"
"28-43","Female","White","Graduate degree","$250,000+",5,4,130,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",64,22.31201171875,10,0,0,10,NA,0,0,10,10,10,NA,30,"Poor","Poor"
"27 or younger","Female","Hispanic","High school degree or equivalent (e.g., GED)","Less than $40,000",5,3,244,"Agree","Not sure","Ingredients meet federal requirements","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a week","At least once daily","At least once daily",63,43.2179390274628,10,0,0,5,NA,0,0,10,0,0,NA,10,"Poor","Poor"
"44-59","Male","White","Graduate degree","$250,000+",5,9,275,"Not sure","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month","3 to 5 times a month",69,40.6059651333753,0,0,0,5,NA,0,10,20,20,20,NA,70,"Poor","Moderate"
"28-43","Female","White","Some college but no degree","Less than $40,000",5,4,195,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients were sourced locally","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a week","3 to 5 times a month","At least once daily",64,33.468017578125,10,0,0,5,5,0,0,10,20,0,20,30,"Moderate","Poor"
"27 or younger","Female","Hispanic","High school degree or equivalent (e.g., GED)","Less than $40,000",5,4,165,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",64,28.319091796875,10,0,0,10,NA,0,0,10,20,10,NA,40,"Poor","Poor"
"44-59","Male","White","Bachelor degree","Less than $40,000",5,8,150,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients meet federal requirements","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","At least once daily","Once a month or less","Once a month or less","Once a month or less",68,22.8049307958477,10,0,0,5,NA,10,0,30,30,30,NA,100,"Poor","Satisfactory"
"28-43","Female","Black or African-American","Some college but no degree","Less than $40,000",5,1,109,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Enriched foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","At least once daily","3 to 5 times a week","At least once daily",61,20.5931201289976,10,0,0,0,NA,0,10,0,10,0,NA,20,"Poor","Poor"
"60-73","Female","White","Bachelor degree","$40,000-74,000",5,8,185,"Disagree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a month",68,28.1260813148789,0,0,0,10,5,0,30,30,30,20,15,110,"Poor","Excellent"
"44-59","Male","White","Associate degree","Less than $40,000",5,8,250,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a month","Once a month or less","3 to 5 times a week",68,38.0082179930796,10,0,0,10,5,0,0,20,30,10,25,60,"Moderate","Moderate"
"60-73","Female","White","Some college but no degree","$40,000-74,000",5,3,140,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Enriched foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a month",63,24.7971781305115,10,0,0,0,5,0,30,30,30,20,15,110,"Poor","Excellent"
"28-43","Male","White","Less than a high school degree","$40,000-74,000",5,5,140,"Not sure","Do not have a significant impact on nutritional value","Ingredients come from nature","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","Once a month or less","3 to 5 times a month","Once a month or less",65,23.294674556213,0,0,0,5,5,0,10,30,20,30,10,90,"Poor","Satisfactory"
"74 or older","Male","White","Graduate degree","$250,000+",6,4,280,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a month","3 to 5 times a month","Once a month or less","At least once daily",76,34.0789473684211,10,0,0,10,NA,0,20,20,30,0,NA,70,"Poor","Moderate"
"44-59","Male","Hispanic","High school degree or equivalent (e.g., GED)","Less than $40,000",5,10,265,"Disagree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week","At least once daily",70,38.019387755102,0,0,0,10,5,0,10,20,10,0,15,40,"Poor","Poor"
"44-59","Female","White","Bachelor degree","$40,000-74,000",5,6,212,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","Once a month or less","Once a month or less","3 to 5 times a week",66,34.2139577594123,10,0,0,5,NA,0,0,30,30,10,NA,70,"Poor","Moderate"
"44-59","Female","White","Some college but no degree","Less than $40,000",5,4,83,"Not sure","Not sure","Nothing","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a month","Once a month or less","Once a month or less",64,14.245361328125,0,0,10,10,NA,0,0,20,30,30,NA,80,"Poor","Satisfactory"
"44-59","Female","White","Less than a high school degree","Less than $40,000",5,9,300,"Not sure","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Processed foods","None of the above","No","At least once daily","3 to 5 times a week","3 to 5 times a month","At least once daily",69,44.2974165091367,0,0,0,10,10,0,0,10,20,0,20,30,"Moderate","Poor"
"28-43","Female","White","Some college but no degree","$100,000-149,000",5,5,150,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","At least once daily",65,24.9585798816568,10,0,0,5,NA,10,10,10,10,0,NA,40,"Poor","Poor"
"60-73","Female","White","Some college but no degree","$40,000-74,000",5,5,150,"Not sure","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a month",65,24.9585798816568,0,0,0,10,5,0,30,30,30,20,15,110,"Poor","Excellent"
"60-73","Female","Hispanic","High school degree or equivalent (e.g., GED)","$40,000-74,000",5,8,170,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a month","Once a month or less","3 to 5 times a month","3 to 5 times a month",68,25.8455882352941,10,0,0,5,5,0,20,30,20,20,20,90,"Moderate","Satisfactory"
"28-43","Male","White","Bachelor degree","$100,000-149,000",6,12,180,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients were sourced locally","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","At least once daily","3 to 5 times a week","3 to 5 times a month","At least once daily",84,17.9336734693878,10,0,0,5,NA,10,0,10,20,0,NA,40,"Poor","Poor"
"28-43","Female","White","High school degree or equivalent (e.g., GED)","$40,000-74,000",5,2,150,"Not sure","Not sure","Nothing","Minimally processed foods","None of the above","No","3 to 5 times a month","Once a month or less","Once a month or less","Once a month or less",62,27.4323621227888,0,0,10,5,10,0,20,30,30,30,25,110,"Moderate","Excellent"
"74 or older","Male","White","Bachelor degree","$75,000-99,000",5,10,174,"Agree","Not sure","Ingredients come from nature","Enriched foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","Once a month or less","Once a month or less","3 to 5 times a week",70,24.9636734693878,10,0,0,0,NA,0,0,30,30,10,NA,70,"Poor","Moderate"
"60-73","Male","White","Some college but no degree","Less than $40,000",5,11,188,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Enriched foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",71,26.2178139258084,0,0,0,0,5,0,0,10,20,10,5,40,"Poor","Poor"
"44-59","Female","White","Some college but no degree","Less than $40,000",5,3,185,"Disagree","Not sure","Ingredients come from nature","Ultra-Processed foods","None of the above","No","At least once daily","Once a month or less","Once a month or less","3 to 5 times a week",63,32.7676996724616,0,0,0,5,10,0,0,30,30,10,15,70,"Poor","Moderate"
"28-43","Female","Hispanic","Associate degree","$40,000-74,000",5,9,148,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a month","Once a month or less","Once a month or less","3 to 5 times a month",69,21.8533921445075,10,0,0,10,5,0,20,30,30,20,25,100,"Moderate","Satisfactory"
"27 or younger","Female","White","High school degree or equivalent (e.g., GED)","$40,000-74,000",5,3,140,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Enriched foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a month","3 to 5 times a month","At least once daily",63,24.7971781305115,0,0,0,0,5,0,0,20,20,0,5,40,"Poor","Poor"
"28-43","Female","White","Bachelor degree","$75,000-99,000",5,3,195,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",63,34.5389266817838,10,0,0,5,5,0,10,10,20,10,20,50,"Moderate","Poor"
"27 or younger","Female","White","Some college but no degree","$40,000-74,000",5,4,220,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a week","3 to 5 times a week","At least once daily",64,37.7587890625,10,0,0,10,5,0,0,10,10,0,25,20,"Moderate","Poor"
"60-73","Female","White","Graduate degree","$40,000-74,000",5,9,125,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","Once a month or less","Once a month or less","Once a month or less","Once a month or less",69,18.457256878807,10,0,0,10,NA,10,30,30,30,30,NA,130,"Poor","Excellent"
"28-43","Male","White","Bachelor degree","$75,000-99,000",6,12,180,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",84,17.9336734693878,10,0,0,5,5,10,10,10,20,10,20,60,"Moderate","Moderate"
"28-43","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,0,180,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Ultra-Processed foods","None of the above","Yes","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month","3 to 5 times a week",60,35.15,10,0,0,5,10,10,10,20,20,10,25,70,"Moderate","Moderate"
"74 or older","Female","White","Bachelor degree","$40,000-74,000",5,7,210,"Agree","Not sure","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","Once a month or less","Once a month or less","Once a month or less",67,32.8870572510581,10,0,0,5,NA,0,30,30,30,30,NA,120,"Poor","Excellent"
"44-59","Female","White","Some college but no degree","Less than $40,000",5,1,170,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","3 to 5 times a month",61,32.117710292932,10,0,0,10,5,0,10,10,10,20,25,50,"Moderate","Poor"
"60-73","Male","White","Bachelor degree","$40,000-74,000",5,11,290,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","Once a month or less","3 to 5 times a month","Once a month or less","3 to 5 times a month",71,40.4423725451299,10,0,0,10,5,10,30,20,30,20,25,110,"Moderate","Excellent"
"74 or older","Female","White","Bachelor degree","Less than $40,000",5,0,147,"Agree","Not sure","Nothing","Processed foods","None of the above","No","At least once daily","3 to 5 times a month","Once a month or less","At least once daily",60,28.7058333333333,10,0,10,10,10,0,0,20,30,0,40,50,"Satisfactory","Poor"
"60-73","Female","White","Less than a high school degree","Less than $40,000",5,6,140,"Not sure","Do not have a significant impact on nutritional value","Ingredients were sourced locally","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","At least once daily","At least once daily","At least once daily",66,22.5941230486685,0,0,0,10,5,0,0,0,0,0,15,0,"Poor","Poor"
"60-73","Female","White","Some college but no degree","Less than $40,000",5,8,127,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Minimally processed foods","None of the above","No","At least once daily","Once a month or less","Once a month or less","Once a month or less",68,19.3081747404844,0,0,0,5,10,0,0,30,30,30,15,90,"Poor","Satisfactory"
"27 or younger","Female","White","Bachelor degree","$75,000-99,000",5,7,134,"Disagree","Do not have a significant impact on nutritional value","Ingredients come from nature","Enriched foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","Once a month or less","3 to 5 times a week","At least once daily",67,20.9850746268657,0,0,0,0,5,0,0,30,10,0,5,40,"Poor","Poor"
"28-43","Male","Black or African-American","High school degree or equivalent (e.g., GED)","Less than $40,000",5,7,180,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a week","At least once daily","3 to 5 times a week",67,28.1889062151927,10,0,0,10,5,0,0,10,0,10,25,20,"Moderate","Poor"
"60-73","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,4,156,"Agree","Not sure","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",64,26.7744140625,10,0,0,5,5,0,0,10,10,10,20,30,"Moderate","Poor"
"74 or older","Female","White","High school degree or equivalent (e.g., GED)","$40,000-74,000",5,3,155,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a month","Once a month or less","3 to 5 times a month","3 to 5 times a week",63,27.4540186444948,0,0,0,10,NA,0,20,30,20,10,NA,80,"Poor","Satisfactory"
